stn,frac_p999_masked,n_exc
key_west_fl-242a-usa-uhslc,0.025330396475770924,908
antofagasta-080a-chl-uhslc,0.025,600
niigatakonishiko-0103-jpn-jodc_pahb,0.024844720496894408,161
miri-388a-mys-uhslc,0.024793388429752067,121
nelson-077a-nzl-uhslc,0.024630541871921183,203
naze-hd22-jpn-jodc_jcg,0.02462121212121212,528
cardwell-h035012a-aus-bom,0.024271844660194174,206
wakayama-ma28-jpn-jodc_jma,0.024175824175824177,455
oulu-oul-fin-cmems,0.023980815347721823,417
izuhara-hd23-jpn-jodc_jcg,0.023972602739726026,584
nishinoomote-363a-jpn-uhslc,0.023706896551724137,464
port_alma-59690-aus-bom,0.02356902356902357,297
susa-gs16-jpn-jodc_giaj,0.023474178403755867,426
adak_alaska-040a-usa-uhslc,0.023423423423423424,555
patricia_bay_bc-7277-can-meds,0.023195876288659795,388
prince_rupert_bc-9354-can-meds,0.02295918367346939,784
tomakomaihigashiko-0146-jpn-jodc_pahb,0.022935779816513763,218
kwajalein-1820000-usa-noaa,0.02284263959390863,394
valparaiso-081a-chl-uhslc,0.02280701754385965,570
whyalla-61840-aus-bom,0.022556390977443608,266
port_hardy_bc-8408-can-meds,0.022494887525562373,489
nuku_hiva-031a-fra-uhslc,0.022026431718061675,227
burnie-344a-aus-uhslc,0.021929824561403508,228
kodiak_island-9457292-usa-noaa,0.021739130434782608,322
langkawi-142a-mys-uhslc,0.02142857142857143,280
odomari-hd20-jpn-jodc_jcg,0.02127659574468085,470
kainan-gs05-jpn-jodc_giaj,0.0210896309314587,569
santa_cruz-030a-ecu-uhslc,0.020588235294117647,340
queen_charlotte_city-9850-can-meds,0.020202020202020204,495
awashima-hd25-jpn-jodc_jcg,0.0200445434298441,449
